d/t, 0.2m, 0.2025m, 0.205m, 0.2075m, 0.21m, 0.2125m, 0.215m, 0.2175m, 0.22m, 0.2225m, 0.225m, 0.2275m, 0.23m, 0.2325m, 0.235m, 0.2375m, 0.24m, 0.2425m, 0.245m, 0.2475m, 0.25m, 0.2525m, 0.255m, 0.2575m, 0.26m, 0.2625m, 0.265m, 0.2675m, 0.27m, 0.2725m, 0.275m, 0.2775m, 0.28m, 0.2825m, 0.285m, 0.2875m, 0.29m, 0.2925m, 0.295m, 0.2975m, 0.3m, 0.3025m, 0.305m, 0.3075m, 0.31m, 0.3125m, 0.315m, 0.3175m, 0.32m, 0.3225m, 0.325m, 0.3275m, 0.33m, 0.3325m, 0.335m, 0.3375m, 0.34m, 0.3425m, 0.345m, 0.3475m, 0.35m, 0.3525m, 0.355m, 0.3575m, 0.36m, 0.3625m, 0.365m, 0.3675m, 0.37m, 0.3725m, 0.375m, 0.3775m, 0.38m, 0.3825m, 0.385m, 0.3875m, 0.39m, 0.3925m, 0.395m, 0.3975m, 0.4m, 0.4025m, 0.405m, 0.4075m, 0.41m, 0.4125m, 0.415m, 0.4175m, 0.42m, 0.4225m, 0.425m, 0.4275m, 0.43m, 0.4325m, 0.435m, 0.4375m, 0.44m, 0.4425m, 0.445m, 0.4475m, 0.45m, 0.4525m, 0.455m, 0.4575m, 0.46m, 0.4625m, 0.465m, 0.4675m, 0.47m, 0.4725m, 0.475m, 0.4775m, 0.48m, 0.4825m, 0.485m, 0.4875m, 0.49m, 0.4925m, 0.495m, 0.4975m, 0.5m, 0.5025m, 0.505m, 0.5075m, 0.51m, 0.5125m, 0.515m, 0.5175m, 0.52m, 0.5225m, 0.525m, 0.5275m, 0.53m, 0.5325m, 0.535m, 0.5375m, 0.54m, 0.5425m, 0.545m, 0.5475m, 0.55m, 0.5525m, 0.555m, 0.5575m, 0.56m, 0.5625m, 0.565m, 0.5675m, 0.57m, 0.5725m, 0.575m, 0.5775m, 0.58m, 0.5825m, 0.585m, 0.5875m, 0.59m, 0.5925m, 0.595m, 0.5975m, 0.6m, 0.6025m, 0.605m, 0.6075m, 0.61m, 0.6125m, 0.615m, 0.6175m, 0.62m, 0.6225m, 0.625m, 0.6275m, 0.63m, 0.6325m, 0.635m, 0.6375m, 0.64m, 0.6425m, 0.645m, 0.6475m
14, 513.3313, 351.6476, 281.9025, 316.3195, 242.3964, 229.9935, 208.6552, 186.0242, 131.2174, 90.7083, 251.2409, 119.2686, 181.8928, 38.0, 167.9047, 185.2836, 164.1463, 104.8094, 203.578, 153.8376, 219.5723, 171.9651, 93.4933, 158.1455, 176.4001, 104.4797, 127.914, 100.6032, 148.0, 167.863, 180.2776, 112.1606, 123.13, 120.7021, 141.7392, 190.704, 189.1904, 164.3472, 147.2005, 206.9299, 122.0656, 159.38, 117.2007, 226.1084, 156.8184, 162.2621, 149.0503, 82.201, 138.2317, 145.3444, 124.3262, 170.0029, 133.8096, 116.0, 113.7453, 67.6831, 213.9018, 29.9666, 137.4118, 158.3824, 78.1025, 117.9237, 167.0928, 100.6479, 26.0768, 123.2599, 163.2483, 118.7139, 130.4952, 131.244, 76.5506, 55.1453, 132.2309, 146.4138, 58.4209, 163.1931, 96.2601, 179.6274, 121.758, 119.8666, 107.8378, 179.4018, 14.0357, 68.469, 89.5377, 57.0, 93.3809, 64.7765, 106.7333, 122.4827, 107.1868, 51.0392, 143.5897, 175.4138, 123.5557, 132.2309, 97.0824, 68.3081, 35.4683, 85.5102, 60.7454, 30.8707, 75.4718, 60.8769, 75.0733, 75.9605, 75.0067, 122.5398, 83.006, 66.8506, 6.4031, 92.0489, 59.203, 8.0, 75.4321, 70.4557, 122.1556, 121.5648, 61.8142, 97.6166, 139.0324, 36.2215, 54.3783, 56.3028, 40.7185, 117.6435, 157.0127, 51.2445, 15.0, 76.6616, 111.8258, 36.0555, 84.22, 95.0474, 43.7379, 114.1096, 42.8019, 59.203, 92.1141, 134.1343, 58.3095, 125.5388, 76.4853, 45.31, 101.2373, 95.7079, 97.2522, 122.0, 120.7684, 73.5391, 96.0052, 95.0, 39.0128, 169.6644, 117.5457, 84.5281, 151.1622, 72.3671, 64.2806, 171.7469, 155.2836, 115.2128, 89.4036, 102.8397, 20.8087, 68.2642, 88.7694, 127.3185, 91.6788, 77.1751, 44.7214, 62.1289, 52.3546, 11.1803, 68.6003, 20.5183, 55.1453, 51.2445, 58.0345, 114.9348
15, 428.5884, 353.3624, 411.3891, 231.7693, 316.7649, 82.3468, 182.2581, 122.4827, 130.679, 120.8801, 138.7408, 130.8167, 152.0691, 91.214, 85.6154, 167.5291, 194.4274, 124.3262, 177.6542, 160.9099, 201.9926, 182.1483, 123.6285, 88.1192, 75.6439, 74.3034, 153.2351, 91.0659, 174.3932, 93.0215, 118.8486, 139.0863, 139.2839, 193.5459, 154.8451, 145.664, 192.2628, 220.9661, 126.9055, 147.5127, 125.7179, 211.6318, 124.7758, 84.0536, 161.059, 145.4991, 174.2326, 117.686, 170.0735, 130.0038, 180.9365, 56.4358, 115.0391, 143.1258, 224.9644, 112.8007, 56.3028, 127.3892, 203.4429, 141.7392, 82.9699, 155.6181, 15.1327, 100.6578, 91.9837, 40.0125, 121.1652, 104.7091, 121.8524, 89.6939, 33.9559, 77.3886, 164.6845, 89.4427, 77.1038, 93.2309, 68.0074, 102.4597, 165.0757, 208.7343, 96.5194, 69.9714, 135.3514, 127.5343, 165.3028, 178.3536, 93.6803, 97.1288, 131.3811, 141.0035, 87.5557, 144.7791, 37.6962, 25.0599, 99.8599, 133.6451, 88.3233, 68.6003, 102.8834, 110.0, 55.6597, 136.8832, 103.6195, 90.0, 65.0, 72.8011, 103.7882, 98.6154, 33.5261, 75.06, 75.7166, 121.8236, 65.1153, 106.1744, 35.4401, 24.3516, 12.2066, 73.6817, 70.214, 120.5404, 82.2192, 75.8024, 19.4165, 92.4392, 95.8175, 117.3243, 48.5077, 86.209, 37.3363, 89.8888, 50.1199, 40.2616, 5.3852, 25.0799, 70.6824, 114.2804, 83.6002, 72.0139, 47.8853, 62.3618, 91.2414, 115.3126, 60.2993, 52.8394, 131.2098, 20.0998, 53.1601, 146.4923, 129.2478, 68.469, 141.6616, 134.7924, 45.0, 88.0568, 136.1249, 82.0, 98.3514, 91.9348, 36.1248, 134.1119, 117.8007, 69.5845, 84.0595, 136.2424, 50.2494, 43.0116, 46.0109, 93.2363, 125.2517, 77.8203, 67.624, 55.5698, 106.4049, 52.9528, 55.5428, 33.1059, 8.0, 39.1152, 51.2445, 114.1622
16, 419.981, 357.5933, 248.9418, 249.0883, 234.2328, 199.0226, 64.8151, 189.1692, 138.6218, 109.0413, 218.3438, 129.4488, 88.6002, 110.4536, 107.2986, 162.1111, 148.6271, 107.5407, 108.9082, 117.0043, 102.9563, 120.075, 116.1034, 154.8289, 124.4026, 148.8624, 171.0263, 34.176, 154.538, 182.8579, 137.0, 206.7365, 138.7984, 135.0926, 93.8136, 128.316, 155.631, 69.029, 218.9612, 142.3376, 124.4548, 185.6071, 139.1761, 156.4001, 26.3059, 131.7118, 81.0247, 150.1632, 146.1848, 170.9883, 67.9412, 94.1541, 71.5542, 58.0, 117.1367, 41.7852, 222.991, 100.6032, 122.7029, 108.4666, 125.6025, 172.7426, 128.5768, 75.0067, 124.0161, 58.9406, 89.6437, 54.6443, 96.1665, 72.111, 156.0513, 159.2263, 73.6003, 154.1752, 125.2837, 39.3192, 156.3714, 131.0343, 78.2943, 92.358, 101.2423, 133.3304, 98.4886, 61.0, 164.5752, 129.3136, 165.3663, 152.0691, 10.198, 128.2225, 35.0571, 96.5401, 37.1214, 96.7729, 118.2286, 169.8588, 181.3202, 18.4391, 95.1262, 32.6497, 107.7868, 83.4865, 61.7171, 80.1561, 106.2544, 29.4109, 113.0531, 164.3472, 129.2942, 26.6271, 51.8845, 102.2008, 81.1542, 61.2209, 35.4683, 67.9117, 34.176, 53.535, 49.0408, 50.1597, 118.2286, 84.0952, 112.0045, 75.6439, 36.0555, 38.0789, 81.0247, 25.632, 34.1321, 60.9262, 39.6989, 88.8369, 79.0759, 76.0592, 137.2006, 72.9452, 47.0106, 50.0899, 54.037, 106.5692, 115.2779, 51.8556, 139.5887, 17.4642, 110.6345, 150.9603, 156.285, 107.4151, 106.4707, 81.3019, 88.5438, 83.5225, 63.1348, 80.4114, 123.7619, 72.45, 103.8171, 154.2368, 152.1217, 82.9699, 159.7905, 96.1769, 56.6127, 55.109, 50.2494, 88.0, 93.8136, 103.9663, 188.0877, 63.0714, 68.2495, 69.0, 118.461, 41.1096, 64.6607, 31.0644, 16.1555, 116.8418, 45.1774, 112.4011
17, 350.4083, 369.4388, 243.1995, 311.8782, 248.3647, 206.9299, 107.9676, 207.1835, 147.0544, 112.2943, 169.0, 95.8541, 168.3241, 92.0272, 166.012, 111.5078, 148.4082, 207.5307, 141.598, 187.2432, 158.7955, 118.7139, 117.516, 175.6502, 237.0338, 114.1578, 132.4009, 253.1265, 89.9889, 186.2525, 140.2177, 164.6481, 179.3544, 117.6435, 133.7647, 151.8453, 153.4047, 116.0, 103.7738, 84.4038, 257.4218, 141.1559, 175.5677, 120.3703, 198.0404, 74.3303, 70.8802, 89.2693, 189.2644, 195.1256, 113.842, 115.6244, 204.267, 141.4956, 88.5664, 83.8153, 175.8664, 116.9273, 56.9386, 41.4367, 71.6938, 113.7585, 134.8332, 154.2628, 77.7946, 108.4666, 49.2443, 135.0, 91.7061, 174.1407, 162.5608, 124.5793, 117.6138, 101.9804, 50.2494, 151.8453, 13.6015, 178.059, 120.9504, 82.8553, 103.0922, 122.1966, 196.6977, 131.5181, 57.4891, 47.1699, 3.0, 166.3731, 184.5644, 154.5574, 111.3643, 128.4718, 141.2268, 42.1545, 18.4391, 48.7955, 115.9741, 157.8765, 98.1275, 237.1181, 140.0143, 105.119, 29.7321, 35.0143, 140.4635, 58.6941, 70.214, 87.0, 83.9345, 39.0, 155.6824, 57.4891, 87.8635, 112.9248, 126.9094, 100.1699, 59.203, 41.3401, 98.1275, 121.6717, 47.4342, 98.0306, 37.0135, 75.4321, 52.8394, 113.5694, 125.3994, 34.4384, 51.1957, 79.1581, 93.0484, 102.1812, 94.8947, 88.0, 24.5153, 42.4382, 151.4893, 63.0635, 63.0714, 82.0, 116.1077, 60.531, 12.8062, 62.6498, 85.6037, 123.4909, 76.5376, 96.6902, 44.2719, 62.2013, 86.764, 74.6324, 114.5469, 94.7945, 54.8179, 32.249, 107.7033, 89.8109, 121.0, 38.5876, 117.1537, 74.4648, 148.3947, 137.8768, 123.9758, 74.0608, 108.1665, 51.3517, 83.0542, 68.0661, 75.1532, 97.1236, 96.4624, 86.0233, 50.448, 22.8254, 86.1452, 78.7718, 82.0792, 138.7984
18, 533.0338, 378.6093, 323.2089, 272.472, 273.9416, 237.9517, 187.1069, 127.0157, 224.8044, 117.9915, 184.716, 101.6366, 60.531, 224.9, 191.4602, 110.7655, 147.411, 170.0176, 95.0474, 101.0198, 216.2799, 80.7775, 125.9365, 54.2033, 189.9921, 177.9916, 132.9248, 160.4151, 141.2303, 266.897, 157.6325, 120.1541, 123.6649, 195.0718, 206.1892, 188.0665, 181.4084, 80.0, 58.6686, 187.5233, 143.8367, 125.706, 96.1509, 144.2012, 134.7331, 146.2395, 136.6236, 70.7248, 76.1052, 98.4937, 138.9748, 54.3323, 123.0691, 163.6704, 103.8123, 157.28, 38.8973, 90.4268, 143.8402, 131.6093, 114.1271, 129.2014, 148.3139, 150.3762, 61.2699, 143.8402, 207.9639, 123.8588, 157.6483, 78.339, 139.2911, 110.0727, 139.0324, 159.0031, 89.627, 72.9452, 56.7274, 58.1378, 149.683, 129.2478, 135.1481, 182.387, 21.8403, 74.6726, 133.094, 164.125, 137.8441, 148.7078, 76.8505, 116.2755, 38.0, 82.0366, 132.246, 82.4621, 4.0, 67.897, 157.0032, 37.7359, 131.0343, 109.0183, 86.6833, 116.0, 84.309, 96.8969, 66.4831, 65.2993, 65.307, 40.3113, 22.561, 77.1557, 64.0312, 47.7598, 44.2041, 62.6498, 122.3806, 37.0, 47.8853, 121.2642, 65.192, 115.5509, 57.9741, 138.0507, 29.7321, 75.6108, 123.7619, 34.2053, 121.4907, 65.5134, 82.4621, 118.6086, 75.0267, 67.4166, 38.0132, 123.5557, 62.3939, 86.3713, 65.2993, 105.8489, 50.6952, 28.6531, 61.0983, 56.6127, 95.0158, 39.0128, 135.8308, 91.1373, 44.2719, 79.0253, 49.679, 97.1854, 27.8927, 97.0824, 83.1925, 54.3783, 133.9888, 52.4786, 106.3203, 140.5133, 137.6408, 77.1622, 136.6199, 50.1597, 67.7422, 24.0832, 59.6657, 83.5225, 65.0308, 13.6015, 79.0, 106.4002, 95.6033, 43.2782, 72.0069, 39.6611, 96.2133, 33.8378, 81.8841, 74.2765, 42.72, 48.0208
19, 530.0434, 408.0784, 290.2688, 322.1444, 288.1406, 240.0333, 149.0537, 216.474, 185.3267, 145.7738, 142.0774, 134.6291, 142.4149, 130.292, 31.9061, 123.7619, 142.3938, 62.9682, 166.2438, 111.0405, 134.0037, 53.2635, 185.8736, 156.0288, 135.6245, 103.2473, 137.5682, 144.1007, 76.243, 218.0092, 76.9415, 149.4021, 192.0339, 147.1394, 28.8444, 98.732, 52.0384, 139.9893, 133.2554, 145.561, 154.9355, 37.2156, 123.065, 150.2831, 88.8651, 65.192, 129.1898, 102.0441, 4.0, 67.8012, 78.2624, 135.1333, 130.9427, 171.2921, 111.4002, 180.1888, 176.3434, 174.9571, 193.8711, 75.6439, 96.2081, 127.1928, 40.4969, 218.5521, 130.4952, 118.2709, 114.4945, 168.8076, 111.7721, 154.0552, 101.671, 118.33, 178.3059, 110.8873, 29.4279, 114.0175, 17.6918, 184.0543, 48.7545, 50.4876, 199.2511, 140.7302, 28.4253, 183.4394, 51.0, 110.982, 34.1321, 183.3821, 127.3931, 120.3412, 117.4777, 82.0244, 44.6878, 99.7647, 113.5958, 147.5127, 86.0058, 108.9082, 112.45, 102.1225, 95.2733, 125.2557, 149.7231, 45.607, 89.0056, 70.9366, 118.5327, 65.3758, 66.5733, 11.0454, 145.0862, 78.8923, 126.2537, 93.0, 72.8011, 48.5077, 143.534, 20.6155, 55.2178, 53.1601, 18.0278, 79.3977, 62.1691, 17.2627, 49.3356, 34.4819, 87.2353, 24.1868, 90.471, 26.0, 42.5206, 69.9714, 45.2769, 85.0, 58.0775, 26.4197, 116.5161, 91.2853, 27.8029, 124.1692, 188.7432, 76.1183, 129.5299, 100.7671, 52.345, 50.448, 130.384, 72.8354, 109.1146, 45.607, 83.2166, 43.9318, 52.2015, 115.434, 102.0784, 193.5975, 119.2812, 39.8246, 93.3006, 67.0522, 89.8888, 91.5478, 26.9072, 48.8365, 139.8642, 129.2826, 27.1662, 132.0038, 88.459, 160.2061, 90.1388, 33.6155, 41.0488, 126.2696, 53.0377, 78.5175, 97.0824, 141.0603, 47.8017, 38.4838
20, 397.555, 283.9859, 329.3038, 357.2394, 224.1004, 193.4942, 173.6663, 133.8096, 130.9236, 118.7139, 126.6491, 132.5632, 132.4424, 172.4674, 254.1535, 209.8809, 156.0801, 64.2028, 195.4329, 134.0149, 172.3079, 166.5953, 211.0095, 191.4262, 139.8177, 162.0031, 82.134, 157.2927, 221.009, 118.3427, 161.0124, 109.1238, 193.8066, 174.1838, 192.3382, 139.1187, 179.3544, 97.8366, 111.072, 154.3049, 200.9428, 84.9706, 116.1077, 115.0043, 112.6055, 175.2056, 110.3857, 161.2265, 9.4868, 70.9366, 159.6653, 191.2616, 92.4446, 129.4952, 51.5461, 139.832, 36.2491, 80.9938, 169.5406, 187.2592, 107.042, 33.0606, 160.5522, 78.3135, 215.4066, 63.2456, 76.3217, 35.3553, 51.7397, 118.0042, 66.0379, 56.8243, 116.9658, 55.2268, 153.8441, 84.6463, 104.8094, 96.1769, 123.9677, 117.9237, 42.0476, 119.6035, 103.407, 199.6196, 158.155, 145.1654, 72.111, 58.2495, 82.7647, 95.9635, 122.1843, 165.7046, 75.7694, 53.3385, 93.1075, 136.7808, 120.4201, 84.9058, 106.3814, 169.331, 126.0516, 163.2176, 87.6926, 134.1343, 101.9117, 139.671, 146.154, 205.273, 16.0, 173.0, 158.6726, 112.3788, 110.9099, 67.2309, 34.0588, 28.1603, 100.7174, 69.6348, 107.042, 62.6259, 54.9181, 111.1261, 53.8145, 73.0068, 87.5557, 41.1096, 59.6825, 18.0278, 33.541, 78.0, 87.2009, 57.5587, 44.1022, 3.1623, 47.5184, 36.7696, 102.9563, 44.0454, 60.0083, 62.9682, 41.0122, 108.2266, 13.0384, 50.1199, 130.5527, 83.1925, 83.8153, 94.921, 21.9317, 87.0, 43.0116, 62.1289, 18.1108, 36.8782, 93.8616, 101.5135, 56.0803, 57.2451, 57.2189, 78.5175, 67.082, 45.1885, 51.264, 61.2944, 45.3982, 105.8489, 68.1175, 62.9682, 169.9206, 30.3645, 74.9466, 22.8254, 139.0575, 73.9256, 107.0747, 62.6259, 85.0941, 85.3756, 57.7235, 98.732
21, 470.2393, 272.3564, 311.8525, 293.5524, 320.7647, 165.4207, 145.1654, 227.3697, 207.7402, 127.4755, 181.0773, 149.0034, 85.44, 36.7696, 151.6344, 94.921, 31.4006, 170.3555, 171.1724, 146.1848, 141.778, 98.9545, 65.3758, 149.7765, 111.7587, 133.154, 151.2415, 83.0, 228.0351, 177.4852, 85.9069, 50.0899, 136.0294, 122.711, 117.3456, 135.2072, 153.3101, 168.6891, 168.9615, 161.4714, 118.9622, 179.2456, 226.0619, 189.842, 190.3943, 107.1681, 106.2121, 193.0026, 77.6209, 46.0977, 147.4619, 172.0262, 123.0813, 41.1096, 69.9214, 189.7077, 91.0, 147.7193, 104.8094, 186.3035, 115.4123, 129.6534, 21.095, 105.119, 123.9395, 99.2472, 162.5331, 171.7236, 128.4562, 96.0, 191.7551, 87.0976, 76.6942, 47.676, 101.2571, 116.9658, 95.0789, 112.2943, 98.0051, 141.6616, 40.5216, 32.249, 145.8012, 139.2157, 123.1097, 72.4224, 101.5972, 36.8782, 162.2252, 74.2496, 75.1665, 102.4158, 190.683, 131.4002, 125.7816, 56.8243, 106.7801, 102.0049, 63.1269, 143.628, 40.4969, 101.1336, 108.462, 112.9292, 7.0, 133.4541, 108.7566, 44.0454, 22.1359, 116.5161, 52.0384, 56.8595, 100.5783, 162.5054, 137.7861, 113.0, 68.9638, 61.3514, 74.027, 57.2713, 105.3233, 60.4152, 81.3449, 104.0433, 108.074, 85.0, 34.1321, 133.8432, 25.807, 110.7655, 124.6154, 15.1327, 48.0521, 104.8094, 53.7401, 51.7397, 34.5254, 42.9535, 52.3927, 89.1403, 112.2943, 89.8053, 50.01, 101.5332, 2.0, 132.0076, 37.0135, 59.0085, 85.0, 52.0384, 145.9109, 45.2769, 41.6773, 58.8218, 13.6015, 65.7951, 95.7706, 73.0068, 44.5533, 86.4523, 47.676, 55.4437, 58.8218, 114.1096, 175.1713, 105.6835, 85.703, 86.954, 26.2488, 75.5844, 46.5296, 180.3802, 118.8486, 29.1548, 65.192, 140.0143, 76.0263, 73.1642, 10.8167, 115.2085
22, 452.3826, 353.2931, 339.9118, 298.3773, 204.4627, 247.0081, 192.2758, 133.5066, 202.6845, 59.9333, 68.7095, 214.4575, 101.2126, 188.6081, 76.2955, 168.5141, 156.6684, 153.4471, 150.4261, 226.3559, 96.0208, 103.2473, 145.1241, 231.3871, 50.9902, 207.4608, 156.9745, 102.2595, 113.4637, 159.7655, 147.5974, 137.5682, 192.6577, 28.6356, 130.8625, 143.6732, 79.4796, 138.2932, 84.9058, 160.1, 106.2309, 78.4347, 59.4643, 170.8011, 188.1303, 162.2745, 161.1366, 186.0027, 156.5886, 91.351, 78.7718, 103.4456, 143.5444, 263.3724, 99.2472, 120.4409, 135.2812, 152.0132, 88.7694, 96.1353, 134.8332, 139.4633, 153.4047, 201.3579, 123.0813, 136.9525, 111.1261, 88.2326, 154.7805, 103.2473, 168.003, 100.2397, 175.1628, 136.7406, 35.0571, 62.2415, 57.0701, 148.3375, 26.2488, 80.2808, 148.9463, 177.4852, 111.9464, 139.9035, 157.28, 119.0672, 39.0, 106.8878, 83.6481, 96.1665, 194.2498, 90.802, 173.7613, 130.9236, 149.683, 80.4114, 44.2719, 135.4289, 94.541, 76.844, 156.3714, 13.4164, 76.1183, 101.2373, 160.5802, 44.2832, 128.3783, 54.8179, 95.3415, 83.2166, 53.8516, 75.6042, 132.1363, 72.8354, 103.7111, 50.1199, 114.0044, 111.8034, 146.6867, 49.6488, 120.3412, 5.3852, 38.6005, 81.3204, 5.0, 86.3713, 31.1448, 92.7793, 59.9083, 63.8201, 60.0333, 98.9798, 8.4853, 36.1248, 67.1193, 141.8732, 59.5483, 3.6056, 104.2353, 47.0106, 109.2245, 83.1986, 36.3456, 44.5982, 80.9938, 56.8859, 107.7079, 19.0263, 53.7122, 55.109, 67.2309, 33.6155, 104.6231, 49.7293, 65.7951, 54.0, 28.0713, 62.6099, 40.8534, 64.1405, 96.1873, 45.607, 78.492, 147.1666, 77.4145, 124.7878, 36.0694, 92.6607, 19.2354, 82.7647, 59.0, 98.737, 75.2396, 85.0529, 34.176, 66.4831, 63.561, 33.3017, 45.3431, 74.0068
23, 357.8827, 389.5254, 251.5313, 226.7355, 193.4942, 195.8801, 116.1809, 114.5862, 169.1981, 73.2462, 187.7578, 97.0618, 86.8159, 184.1738, 133.094, 95.1893, 89.4539, 157.8924, 166.1927, 90.802, 177.4063, 128.0976, 172.2353, 202.4105, 222.4635, 223.9732, 179.7443, 188.5656, 146.0137, 98.4124, 115.8792, 213.2346, 141.6757, 118.4567, 96.0469, 164.2224, 68.0294, 136.18, 55.9732, 126.4358, 110.1454, 67.2086, 65.3758, 159.4773, 204.0098, 38.4708, 117.1367, 198.3381, 170.3085, 97.0155, 120.2082, 129.1395, 127.2517, 143.1712, 98.0612, 153.6392, 176.3236, 157.7466, 77.5242, 73.9797, 128.5768, 52.6118, 65.7647, 95.9635, 108.4528, 133.124, 153.2188, 46.1736, 228.5279, 174.1838, 185.5505, 145.0034, 87.3212, 124.4227, 145.7841, 63.0635, 30.0, 106.3203, 185.0108, 65.9697, 105.8915, 191.3139, 55.7315, 100.4042, 96.5091, 113.2078, 74.8131, 99.6243, 66.0984, 146.4548, 90.6863, 64.8151, 120.7477, 69.7782, 136.5284, 71.7008, 187.9707, 101.8332, 85.5862, 97.8621, 19.3132, 8.0623, 51.2445, 132.0984, 118.5327, 34.4093, 154.4571, 72.45, 32.0156, 130.9236, 69.0797, 31.0, 66.4078, 33.4215, 43.4166, 151.4332, 130.269, 74.0608, 38.3275, 150.4792, 47.0425, 121.5648, 53.4883, 123.4585, 85.0706, 113.031, 139.1402, 111.072, 85.2115, 123.065, 47.634, 57.7235, 60.3075, 85.276, 42.4264, 64.6607, 23.4307, 118.1059, 33.0606, 44.2832, 12.3693, 108.2682, 22.0227, 46.0977, 49.3964, 37.8021, 119.8207, 18.9737, 26.0192, 76.0263, 82.8734, 40.5216, 58.5235, 60.407, 79.404, 39.8246, 34.4819, 50.636, 54.7083, 42.72, 52.9245, 8.6023, 119.4027, 59.6154, 50.9313, 65.7951, 51.0784, 38.9487, 78.4347, 87.7097, 8.0, 19.105, 123.7619, 69.6419, 4.2426, 123.6285, 77.8974, 146.1232, 132.0757, 53.3385
24, 384.7311, 289.1712, 333.985, 277.2183, 218.3048, 179.2345, 178.0169, 104.8475, 222.6252, 135.1481, 184.6104, 117.2732, 92.6121, 121.5648, 69.9214, 176.6947, 140.9113, 182.2361, 173.6116, 102.3181, 65.1153, 96.7471, 222.0023, 185.0243, 69.1158, 121.4125, 155.1677, 115.2562, 148.297, 105.9481, 168.2379, 95.4254, 96.0833, 232.9979, 19.105, 116.0388, 193.3132, 202.2375, 153.3786, 130.6139, 126.115, 95.1315, 93.9149, 75.9605, 60.8358, 221.0566, 155.6535, 144.0694, 126.2894, 129.387, 150.2332, 90.2109, 78.7718, 148.8624, 81.4923, 149.1208, 108.9082, 201.0895, 214.014, 71.2811, 125.6742, 164.5752, 154.3535, 154.3535, 157.0509, 127.0472, 149.1208, 216.0093, 85.8662, 124.0161, 20.0, 45.2769, 53.2541, 119.4738, 103.4698, 86.0058, 166.012, 127.122, 175.0257, 110.4943, 15.0, 106.1179, 84.1724, 110.0636, 28.6007, 98.0867, 111.9464, 103.846, 72.1388, 123.3207, 113.5473, 20.1246, 127.122, 51.6236, 58.6941, 152.6106, 137.9275, 82.9759, 148.1654, 113.4372, 68.2422, 89.0225, 99.6393, 91.0055, 44.911, 118.5116, 99.3227, 108.4666, 48.7647, 48.3011, 62.514, 34.5254, 16.4012, 102.1421, 29.4109, 76.3675, 64.2884, 63.1585, 18.0, 10.4403, 164.2011, 96.2549, 78.6448, 88.5664, 145.4957, 108.8118, 124.4227, 28.0179, 66.7608, 50.9902, 16.1245, 110.0, 22.3607, 88.0, 57.0088, 79.6304, 90.0, 76.6551, 81.7435, 27.0, 21.9317, 30.8058, 20.6155, 74.027, 54.0, 73.0068, 10.6301, 74.411, 65.7951, 79.3095, 31.4006, 106.3015, 77.026, 38.2753, 102.7716, 37.3363, 156.5791, 2.0, 73.2393, 24.0832, 120.2082, 78.8923, 161.8209, 96.6902, 78.032, 50.6952, 46.6154, 74.2024, 120.3536, 76.4853, 56.0446, 61.7171, 53.0, 76.4853, 30.0, 76.531, 113.4416, 75.7166, 59.1354, 128.082
25, 377.0199, 382.5611, 260.248, 234.9681, 184.7647, 176.8757, 226.9912, 203.1477, 266.9232, 188.3507, 173.4618, 96.3172, 85.703, 153.4568, 113.0708, 103.769, 136.6236, 173.6577, 172.6268, 124.6154, 129.062, 92.358, 172.2005, 95.0789, 152.1611, 164.4019, 97.7394, 142.7901, 183.2075, 102.0441, 131.1373, 216.1782, 183.4121, 202.9507, 111.3059, 83.3607, 149.2012, 136.1249, 167.7379, 134.4061, 76.0592, 169.0473, 105.4372, 67.1789, 150.333, 107.6708, 105.5462, 56.0089, 106.9439, 118.5622, 143.014, 104.5466, 212.5582, 111.4136, 107.4244, 163.9817, 40.4475, 99.6895, 150.2065, 73.4098, 67.897, 97.7446, 55.5428, 97.8621, 125.2557, 53.8516, 37.3631, 180.9226, 80.8022, 104.0769, 197.8004, 128.082, 153.0, 107.28, 167.1945, 88.8369, 114.5862, 55.0273, 113.719, 166.5083, 118.3089, 141.3542, 148.4318, 197.2029, 93.1719, 226.241, 114.2366, 18.0278, 45.2769, 115.767, 82.7647, 90.802, 105.5509, 40.3113, 106.6068, 139.6066, 117.1751, 80.7775, 78.339, 118.0042, 47.4131, 120.1083, 70.6612, 84.0536, 192.3538, 119.6829, 50.0, 51.0392, 89.2861, 127.2831, 63.6003, 59.0931, 47.0106, 41.5933, 37.6962, 44.1814, 27.313, 82.8794, 71.3442, 48.0937, 73.1095, 27.313, 35.609, 53.4135, 34.0147, 42.0476, 54.0833, 106.1179, 113.7805, 66.0303, 72.1734, 106.5692, 166.1927, 92.3147, 47.634, 111.1261, 93.4345, 33.2415, 57.3847, 53.4883, 70.5762, 130.4301, 77.4919, 19.105, 85.235, 92.0272, 112.4322, 43.0116, 49.366, 18.0278, 44.2832, 95.7758, 124.6194, 47.4236, 94.3663, 40.05, 104.7521, 88.4081, 74.6257, 81.0432, 41.2311, 96.6488, 13.0, 94.921, 107.7868, 66.5733, 30.0666, 102.3132, 111.2879, 103.407, 24.0208, 71.5891, 46.0, 110.1681, 47.8853, 111.018, 115.5206, 122.8088, 110.2905, 46.3249
